RICHIESTA N° PROT;RICHIESTA ANNO PROT;RICHIESTA DATA;PROCEDIMENTO;ESITO PRATICA;CHIUSURA PRATICA DATA;CODICE VIA;CIVICO;ESPONENTE CIVICO;LOCALIZZAZIONI LISTA
2900;2008;2008-01-07;permesso di costruire;Rilasciata;2008-05-22;31180;2;;VIA DEL LEGATORE N.  2
17265;2008;2008-01-23;permesso di costruire;Rinunciata;2008-03-20;18650;28;;VIA CROCIALI N.  28
43943;2008;2008-02-21;permesso di costruire;Rilasciata con prescrizioni;2008-09-15;36170;14;;VIA MARTIRI CROCE DEL BIACCO N.  14 INTERO EDIFICIO
45264;2008;2008-02-22;permesso di costruire;Rilasciata;2008-09-08;25050;1;;VIA DUCCIO GALIMBERTI N.  1
48830;2008;2008-02-27;permesso di costruire;Rilasciata;2009-01-26;20080;46;;VIA QUIRINO DI MARZIO N.  46 48-50
53727;2008;2008-03-04;permesso di costruire;Rinunciata;2008-11-11;63100;64;;VIA FRANCESCO ZANARDI N.  64
57222;2008;2008-03-07;permesso di costruire;Rinunciata;2008-05-12;43880;19;;VIA PIO PANFILI N.  19
61955;2008;2008-03-13;permesso di costruire;Rilasciata con prescrizioni;2008-07-24;36750;4;;VIALE ANGELO MASINI N.  4
63974;2008;2008-03-17;permesso di costruire;Rinunciata;2008-06-16;21750;72;;VIA DEL FAGGIOLO N.  72 PIANO 1°
79266;2008;2008-04-07;permesso di costruire;Rilasciata;2008-06-17;48500;11;;VIA PUNTA N.  11
81794;2008;2008-04-09;permesso di costruire;Rilasciata;2008-07-21;18200;27;;VIA TRANQUILLO CREMONA N.  27
90224;2008;2008-04-18;permesso di costruire;Rilasciata;2008-06-26;22300;1;;VIA DEI FELICINI N.  1
91552;2008;2008-04-21;permesso di costruire;Rilasciata;2008-12-18;45700;31;;VIA PIAVE N.  31
100177;2008;2008-04-29;permesso di costruire;Rilasciata;2008-07-25;10200;30;;VIA GIUSEPPE BRINI N.  30
104474;2008;2008-05-06;permesso di costruire;Rilasciata;2008-10-17;11950;16;;VIA ALFREDO CALZOLARI N.  16
109344;2008;2008-05-09;permesso di costruire;Rilasciata con prescrizioni;2008-09-12;11120;;;VIA CADUTI DI AMOLA  ( Civico da definire )
112232;2008;2008-05-13;permesso di costruire;Rilasciata;2008-10-24;32460;20;;VIA JACK LONDON N.  20
126196;2008;2008-05-21;permesso di costruire;Rilasciata;2008-06-27;57500;14;;VIA ALESSANDRO TIARINI N.  14 Piano terzo e sottotetto
127367;2008;2008-05-22;permesso di costruire;Rilasciata;2008-09-08;49330;1;;VIA RAVENNA N.  1 INTERNO 22 piano 9
129158;2008;2008-05-23;permesso di costruire;Rilasciata;2008-10-07;63100;376;;VIA FRANCESCO ZANARDI N.  376
133447;2008;2008-05-28;permesso di costruire;Rilasciata;2008-06-26;23580;5;;VIA GHERARDO FORNI N.  5
