ID_RICHIESTA,RICHIESTA ANNO PROT,RICHIESTA DATA,PROCEDIMENTO,ESITO PRATICA,CHIUSURA PRATICA DATA,CODICE VIA,CIVICO,ESPONENTE CIVICO,LOCALIZZAZIONI LISTA,DESCRIZIONE_RICHIESTA,LOCALIZZAZIONE_RICHIESTA,ANNO,NOMI_FILE,indirizzo_pulito,lat,lon
43943,2008,2008-02-21,permesso di costruire,Rilasciata con prescrizioni,2008-09-15,36170.0,14.0,,VIA MARTIRI CROCE DEL BIACCO N.  14 INTERO EDIFICIO,"ampliamento di unità abitativa in edificio unifamiliare a piano seminterrato, terra e primo, in variante essenziale alla DIA 177807/07 (ampliamento inferiore al 20%)",VIA MARTIRI CROCE DEL BIACCO N.  14 INTERO EDIFICIO,2008.0,PDC settembre 2008.xls,"Via Martiri Croce Del Biacco 14, Bologna",44.4905261,11.4000564
45264,2008,2008-02-22,permesso di costruire,Rilasciata,2008-09-08,25050.0,1.0,,VIA DUCCIO GALIMBERTI N.  1,"demolizione di parte di edificio esistente e ricostruzione con ampliamento utilizzando la superficie della tribuna, modifiche interne ed estetiche.",VIA DUCCIO GALIMBERTI N.  1,2008.0,PDC settembre 2008.xls,"Via Duccio Galimberti 1, Bologna",44.4932422,11.3167337
48830,2008,2008-02-27,permesso di costruire,Rilasciata,2009-01-26,20080.0,46.0,,VIA QUIRINO DI MARZIO N.  46 48-50,"nuova costruzione di edifici ad uso abitativo previa demolizione di edificio esistente, con utilizzo di una-tantum e indice edificatorio",VIA QUIRINO DI MARZIO N.  46 48-50,2008.0,PDC gennaio 2009.xls,"Via Quirino Di Marzio 46 48-50, Bologna",44.5033155,11.294672
91552,2008,2008-04-21,permesso di costruire,Rilasciata,2008-12-18,45700.0,31.0,,VIA PIAVE N.  31,nuova costruzione in ampliamento e recupero di autorimessa con potenzialità edificatoria per realizzare due appartamenti in palazzina autonoma di piani due,VIA PIAVE N.  31,2008.0,PDC dicembre 2008.xls,"Via Piave 31, Bologna",44.5009405,11.3151771
104474,2008,2008-05-06,permesso di costruire,Rilasciata,2008-10-17,11950.0,16.0,,VIA ALFREDO CALZOLARI N.  16,Ampliamento di edificio esistente con l'utilizzo dell'incremento una tantum per la realizzazione di una unità ad uso abitativo. ,VIA ALFREDO CALZOLARI N.  16,2008.0,PDC ottobre 2008.xls,"Via Alfredo Calzolari 16, Bologna",44.5187844,11.354492
109344,2008,2008-05-09,permesso di costruire,Rilasciata con prescrizioni,2008-09-12,11120.0,,,VIA CADUTI DI AMOLA  ( Civico da definire ),per NC di Edificio ad uso misto U2-U9 su lotto libero e contestuale richiesta di cessione parziale dello standard P1,VIA CADUTI DI AMOLA  ( Civico da definire ),2008.0,PDC settembre 2008.xls,"Via Caduti Di Amola ( ), Bologna",44.514326,11.2809784
112232,2008,2008-05-13,permesso di costruire,Rilasciata,2008-10-24,32460.0,20.0,,VIA JACK LONDON N.  20,Nuova costruzione per ampliamento di unita' residenziale ed ristrutturazione edilizia di edificio accessorio trasformato in superficie utile uso abitazione,VIA JACK LONDON N.  20,2008.0,PDC ottobre 2008.xls,"Via Jack London 20, Bologna",44.5472439,11.3577806
127367,2008,2008-05-22,permesso di costruire,Rilasciata,2008-09-08,49330.0,1.0,,VIA RAVENNA N.  1 INTERNO 22 piano 9,vcd'o alla P.G. 34474/2008 per ulteriore ampliamento di S.U.residenziale sul lastrico solare con deroga dei confinanti,VIA RAVENNA N.  1 INTERNO 22 piano 9,2008.0,PDC settembre 2008.xls,"Via Ravenna 1, Bologna",44.4726017,11.3879674
129158,2008,2008-05-23,permesso di costruire,Rilasciata,2008-10-07,63100.0,376.0,,VIA FRANCESCO ZANARDI N.  376,Ampliamento di edificio uso produttivo con l'utilizzo dell'Una Tantum,VIA FRANCESCO ZANARDI N.  376,2008.0,PDC ottobre 2008.xls,"Via Francesco Zanardi 376, Bologna",44.5311063,11.3127378
142078,2008,2008-06-06,permesso di costruire,Rilasciata,2009-03-17,11850.0,4.0,,VIA DIONISIO CALVART N.  4,Permesso di costruire in VCO alla Dia 48228/08 per il frazionamento di una unità immobiliare ad uso laboratorio con contestuale utilizzo dell' incremento una tantum per l' ampliamento fuori sagoma della parte non classificata. ,VIA DIONISIO CALVART N.  4,2008.0,PDC marzo 2009.xls,"Via Dionisio Calvart 4, Bologna",44.5157169,11.3470676
160304,2008,2008-06-23,permesso di costruire,Rilasciata,2008-11-03,52900.0,6.0,,VIA RAFFAELLO SANZIO N.  6,N.C. di maneggio,VIA RAFFAELLO SANZIO N.  6,2008.0,PDC novembre 2008.xls,"Via Raffaello Sanzio 6, Bologna",44.4928548,11.2804874
161763,2008,2008-06-24,permesso di costruire,Rilasciata,2008-09-30,50900.0,6.0,,VIA ROMITA N.  6,"Sopraelevazione di locale autorimessa non classificata con contestuale trasformazione in SU e restituzione della pari superficie a parcheggio, accorpamento di unità abitative e opere interne ed esterne",VIA ROMITA N.  6,2008.0,PDC settembre 2008.xls,"Via Romita 6, Bologna",44.5245105,11.3698868
163761,2008,2008-06-25,permesso di costruire,Rilasciata,2008-10-17,14000.0,8.0,,VIA VINCENZO CASCIAROLO N.  8 INTERNO 1,Variante in c.o alla p.g. 87812/2008 per ampliamenti con ricorso all'indice edificatorio una tantum e frazionamento di unita' residenziale,VIA VINCENZO CASCIAROLO N.  8 INTERNO 1,2008.0,PDC ottobre 2008.xls,"Via Vincenzo Casciarolo 8, Bologna",44.5058671,11.3602782
168704,2008,2008-06-30,permesso di costruire,Rilasciata,2008-11-11,60900.0,3.0,,VIA ANGELO VENTUROLI N.  3,"recupero sottostetto e frazionamento di unità immobiliari, riguardanti intero edificio classificato a piano seminterrato, rialzato, primo e sottotetto ",VIA ANGELO VENTUROLI N.  3,2008.0,PDC novembre 2008.xls,"Via Angelo Venturoli 3, Bologna",44.4923845,11.3669218
169460,2008,2008-06-30,permesso di costruire,Rilasciata,2008-10-30,15730.0,3.0,,VIA DELLA CENTRALINISTA N.  3,per la realizzazione di una pensilina in acciaio e plexiglass per il ricovero dei motocicli,VIA DELLA CENTRALINISTA N.  3,2008.0,PDC ottobre 2008.xls,"Via Della Centralinista 3, Bologna",44.4992368,11.407999
170189,2008,2008-07-01,permesso di costruire,Rilasciata,2008-09-23,5800.0,91.0,,VIA BATTINDARNO N.  91,Realizzazione di totem in acciaio e vetro all'interno di area industriale,VIA BATTINDARNO N.  91,2008.0,PDC settembre 2008.xls,"Via Battindarno 91, Bologna",44.5039372,11.2997808
171522,2008,2008-07-02,permesso di costruire,Rilasciata,2008-10-24,2050.0,59.0,,VIA ANDREA DA FAENZA N.  59,Nuova costruzione di autorimessa su lotto autonomo con l'utilizzo dell'indice fondiario,VIA ANDREA DA FAENZA N.  59,2008.0,PDC ottobre 2008.xls,"Via Andrea Da Faenza 59, Bologna",44.5173329,11.3458151
171572,2008,2008-07-02,permesso di costruire,Decaduta,2010-12-14,30850.0,37.0,,VIA LARGA N.  37,realizzazione fuori sagoma di deposito materiali a piano terra di unità immobiliare ad uso commerciale - concessionaria auto ,VIA LARGA N.  37,2008.0,PDC novembre 2008.xls,"Via Larga 37, Bologna",44.5038164,11.3984931
176048,2008,2008-07-08,permesso di costruire,Rilasciata,2008-10-24,18150.0,8.0,,PIAZZA DELLA COSTITUZIONE N.  8,Variante in C.O. non essenziale al PdC PG 227041/2006 per lo spostamento di parte della cabina elettrica sul lotto dove sono ubicati i servizi della camera di commercio di Bologna.,PIAZZA DELLA COSTITUZIONE N.  8,2008.0,PDC ottobre 2008.xls,"Piazza Della Costituzione 8, Bologna",44.5112173,11.3620904
179814,2008,2008-07-11,permesso di costruire,Rilasciata con prescrizioni,2009-03-25,36250.0,8.0,,VIA MARZABOTTO N.  8,NC di edificio ad uso direzionali con sfruttamento dell'indice esistente a Variante essenziale alla DIA PG 175993/08,VIA MARZABOTTO N.  8,2008.0,PDC marzo 2009.xls,"Via Marzabotto 8, Bologna",44.5030111,11.3130452
185352,2008,2008-07-18,permesso di costruire,Rilasciata,2008-09-30,47800.0,42.0,,VIA DEL PRATELLO N.  42,ripristino tipologico di edifici esistenti con demolizione e ricostruzione e creazione di n°3 garage e di lastrico solare a servizio della unità immobiliare ad uso abitativo esistente in variante al PdC n° 284884/07,VIA DEL PRATELLO N.  42,2008.0,PDC settembre 2008.xls,"Via Del Pratello 42, Bologna",44.495453,11.332496
186246,2008,2008-07-21,permesso di costruire,Rilasciata,2008-11-17,52400.0,16.0,2,VIA AURELIO SAFFI N.  16 / 2,Nuova costruzione di volume (tettoia in policarbonato con chiusura su tutti i lati) con utilizzo di una tantum in unità immobiliare ad uso residenziale posta al piano  ammezzato ,VIA AURELIO SAFFI N.  16 / 2,2008.0,PDC novembre 2008.xls,"Via Aurelio Saffi 16 / 2, Bologna",44.4999626,11.3242577
187047,2008,2008-07-22,permesso di costruire,Rilasciata,2009-03-05,37550.0,17.0,2,VIA GIOV.BATTISTA MELLONI N.  17 / 2,per ampliamento di due unità immobiliari ad uso abitativo usufruendo dell'ampliamento una-tantum in edificio non classificato - rif. n° 219185/07 (diniegata),VIA GIOVANNI BATTISTA MELLONI N.  17,2008.0,PDC marzo 2009.xls,"Via Giovanni Battista Melloni 17, Bologna",44.4915273,11.3196259
187634,2008,2008-07-22,permesso di costruire,Rilasciata,2008-12-04,20500.0,198.0,,VIA S.DONATO N.  198,Richiesta di Permesso di Costruire per opere di adeguamento estese all'intero edificio classificato 1B.,VIA S.DONATO N.  198,2008.0,PDC dicembre 2008.xls,"Via S.Donato 198, Bologna",44.522375,11.4041131
210853,2008,2008-09-04,permesso di costruire,Rilasciata,2008-11-17,19550.0,,,VIA DE LA BIRRA  ( Civico da definire ),nuova costruzione di edificio residenziale mediante utilizzo di s.u.e.  (vedi scheda R6.2),VIA DE LA BIRRA  ( Civico da definire ),2008.0,PDC novembre 2008.xls,"Via De La Birra ( ), Bologna",44.5219504,11.2928926
216238,2008,2008-09-11,permesso di costruire,Rilasciata,2008-12-18,21350.0,150.0,,VIA EMILIA LEVANTE N.  150,"realizzazione di edificio residenziale a piano interrato, terra, primo, secondo e terzo, e demolizione con ricostruzione e cambio d'uso di edificio con destinazione attuale U6",VIA EMILIA LEVANTE N.  150,2008.0,PDC dicembre 2008.xls,"Via Emilia Levante 150, Bologna",44.4798323,11.3844752
221178,2008,2008-09-16,permesso di costruire,Rilasciata con prescrizioni,2012-11-28,28350.0,,,VIA DEL GOMITO  ( Civico da definire ),Permesso di costruire per la nuova realizzazione di un impianto di distribuzione carburanti con annessi autolavaggi,VIA DEL GOMITO  ( Civico da definire ),2008.0,PDC novembre 2012.xls,"Via Del Gomito ( ), Bologna",44.5342041,11.3682427
221877,2008,2008-09-17,permesso di costruire,Rilasciata,2009-02-05,61360.0,11.0,,VIA DEL VETRAIO N.  11,"ampliamento fuori sagoma con utilizzo di superficie una tantum e residuo capacità edificatoria  e cambio d'uso verso il commerciale (U6) e il laboratoriale (U10) di unità a piano interrato, terra, primo.",VIA DEL VETRAIO N.  11,2008.0,PDC febbraio 2009.xls,"Via Del Vetraio 11, Bologna",44.5050304,11.4212665
230740,2008,2008-09-26,permesso di costruire,Rilasciata con prescrizioni,2009-02-20,38650.0,,,VIA DEL MILLIARIO  ( Civico da definire ),Nuova costruzione di edificio ad uso residenziale (n. 7 u.i.),VIA DEL MILLIARIO  ( Civico da definire ),2008.0,PDC febbraio 2009.xls,"Via Del Milliario ( ), Bologna",44.5106512,11.2963965
232493,2008,2008-09-29,permesso di costruire,Rilasciata,2009-06-12,34200.0,9.0,,VIA S.MAMOLO N.  9,"recupero del complesso edilizio monumentale detto "" convento delle acque """,VIA S.MAMOLO N.  9,2008.0,PDC giugno 2009.xls,"Via S.Mamolo 9, Bologna",44.4860814,11.3391346
242172,2008,2008-10-09,permesso di costruire,Rilasciata,2009-04-21,7000.0,11.0,,VIA GIUSEPPE BENTIVOGLI N.  11,Variante in c.o.minore alla PG 253054/2007 modifica della sagoma planivolumetrica e opere di RE2 interne ed esterne,VIA GIUSEPPE BENTIVOGLI N.  11,2008.0,PDC aprile 2009.xls,"Via Giuseppe Bentivogli 11, Bologna",44.4930611,11.3649423
250808,2008,2008-10-20,permesso di costruire,Rilasciata con prescrizioni,2009-10-06,63100.0,28.0,,VIA FRANCESCO ZANARDI N.  28,Nuova costruzione di asilo aziendale di Poste Italiane all'interno dell'area del CMP  ,VIA FRANCESCO ZANARDI N.  28,2008.0,PDC ottobre 2009.xls,"Via Francesco Zanardi 28, Bologna",44.5089603,11.3290411
251817,2008,2008-10-21,permesso di costruire,Rilasciata con prescrizioni,2009-03-10,750.0,10.0,,VIA AGUCCHI N.  10,Ampliamento una tantum fuori sagoma per nuova costruzione in sopraelevazione con accorpamento parziale di unità immobiliare,VIA AGUCCHI N.  10,2008.0,PDC marzo 2009.xls,"Via Agucchi 10, Bologna",44.5096853,11.2970052
253925,2008,2008-10-23,permesso di costruire,Rilasciata con prescrizioni,2009-04-17,21350.0,137.0,,VIA EMILIA LEVANTE N.  137 piano 4°,"chiusura di loggia a piano quarto, parzialmente fuori sagoma, con utilizzo di superficie una tantum in unità immobiliare ad uso U5",VIA EMILIA LEVANTE N.  137 piano 4°,2008.0,PDC aprile 2009.xls,"Via Emilia Levante 137 °, Bologna",44.4790576,11.3853119
