ID_RICHIES,RICHIESTA,RICHIEST_1,PROCEDIMEN,ESITO PRAT,CHIUSURA P,CODICE VIA,CIVICO,ESPONENTE,LOCALIZZAZ,DESCRIZION,LOCALIZZ_1,ANNO,NOMI_FILE,indirizzo_,lat,lon,fid,ID_STR,COD_EDI,DESCRIZ,COD_TSC,OBJECTID,SIGLA,COD_1,COD_2,COD_3,COD_4,COD_TOT,DESCR,HECTARES,PERIMETER,SHAPE.AREA,SHAPE.LEN,layer,path,ID_STR_2,COD_EDI_2,DESCRIZ_2,COD_TSC_2,OBJECTID_2,SIGLA_2,COD_1_2,COD_2_2,COD_3_2,COD_4_2,COD_TOT_2,DESCR_2,HECTARES_2,PERIMETER_,SHAPE.AR_1,SHAPE.LEN_,layer_2,path_2
45264,2008,2008/02/22,permesso di costruire,Rilasciata,2008/09/08,25050.000000000000000,1.000000000000000,,VIA DUCCIO GALIMBERTI N.  1,"demolizione di parte di edificio esistente e ricostruzione con ampliamento utilizzando la superficie della tribuna, modifiche interne ed estetiche.",VIA DUCCIO GALIMBERTI N.  1,2008.000000000000000,PDC settembre 2008.xls,"Via Duccio Galimberti 1, Bologna",44.493242199999997,11.316733700000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
91552,2008,2008/04/21,permesso di costruire,Rilasciata,2008/12/18,45700.000000000000000,31.000000000000000,,VIA PIAVE N.  31,nuova costruzione in ampliamento e recupero di autorimessa con potenzialità edificatoria per realizzare due appartamenti in palazzina autonoma di piani due,VIA PIAVE N.  31,2008.000000000000000,PDC dicembre 2008.xls,"Via Piave 31, Bologna",44.500940499999999,11.315177100000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
112232,2008,2008/05/13,permesso di costruire,Rilasciata,2008/10/24,32460.000000000000000,20.000000000000000,,VIA JACK LONDON N.  20,Nuova costruzione per ampliamento di unita' residenziale ed ristrutturazione edilizia di edificio accessorio trasformato in superficie utile uso abitazione,VIA JACK LONDON N.  20,2008.000000000000000,PDC ottobre 2008.xls,"Via Jack London 20, Bologna",44.547243899999998,11.357780600000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
142078,2008,2008/06/06,permesso di costruire,Rilasciata,2009/03/17,11850.000000000000000,4.000000000000000,,VIA DIONISIO CALVART N.  4,Permesso di costruire in VCO alla Dia 48228/08 per il frazionamento di una unità immobiliare ad uso laboratorio con contestuale utilizzo dell' incremento una tantum per l' ampliamento fuori sagoma della parte non classificata.,VIA DIONISIO CALVART N.  4,2008.000000000000000,PDC marzo 2009.xls,"Via Dionisio Calvart 4, Bologna",44.515716900000001,11.347067600000001,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
160304,2008,2008/06/23,permesso di costruire,Rilasciata,2008/11/03,52900.000000000000000,6.000000000000000,,VIA RAFFAELLO SANZIO N.  6,N.C. di maneggio,VIA RAFFAELLO SANZIO N.  6,2008.000000000000000,PDC settembre 2008.xls,"Via Raffaello Sanzio 6, Bologna",44.492854800000003,11.280487400000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
161763,2008,2008/06/24,permesso di costruire,Rilasciata,2008/09/30,50900.000000000000000,6.000000000000000,,VIA ROMITA N.  6,"Sopraelevazione di locale autorimessa non classificata con contestuale trasformazione in SU e restituzione della pari superficie a parcheggio, accorpamento di unità abitative e opere interne ed esterne",VIA ROMITA N.  6,2008.000000000000000,PDC settembre 2008.xls,"Via Romita 6, Bologna",44.524510499999998,11.369886800000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
168704,2008,2008/06/30,permesso di costruire,Rilasciata,2008/11/11,60900.000000000000000,3.000000000000000,,VIA ANGELO VENTUROLI N.  3,"recupero sottostetto e frazionamento di unità immobiliari, riguardanti intero edificio classificato a piano seminterrato, rialzato, primo e sottotetto",VIA ANGELO VENTUROLI N.  3,2008.000000000000000,PDC novembre 2008.xls,"Via Angelo Venturoli 3, Bologna",44.492384500000000,11.366921800000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
171522,2008,2008/07/02,permesso di costruire,Rilasciata,2008/10/24,2050.000000000000000,59.000000000000000,,VIA ANDREA DA FAENZA N.  59,Nuova costruzione di autorimessa su lotto autonomo con l'utilizzo dell'indice fondiario,VIA ANDREA DA FAENZA N.  59,2008.000000000000000,PDC ottobre 2008.xls,"Via Andrea Da Faenza 59, Bologna",44.517332900000000,11.345815099999999,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
176048,2008,2008/07/08,permesso di costruire,Rilasciata,2008/10/24,18150.000000000000000,8.000000000000000,,PIAZZA DELLA COSTITUZIONE N.  8,Variante in C.O. non essenziale al PdC PG 227041/2006 per lo spostamento di parte della cabina elettrica sul lotto dove sono ubicati i servizi della camera di commercio di Bologna.,PIAZZA DELLA COSTITUZIONE N.  8,2008.000000000000000,PDC ottobre 2008.xls,"Piazza Della Costituzione 8, Bologna",44.511217299999998,11.362090400000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
185352,2008,2008/07/18,permesso di costruire,Rilasciata,2008/09/30,47800.000000000000000,42.000000000000000,,VIA DEL PRATELLO N.  42,ripristino tipologico di edifici esistenti con demolizione e ricostruzione e creazione di n°3 garage e di lastrico solare a servizio della unità immobiliare ad uso abitativo esistente in variante al PdC n° 284884/07,VIA DEL PRATELLO N.  42,2008.000000000000000,PDC settembre 2008.xls,"Via Del Pratello 42, Bologna",44.495452999999998,11.332496000000001,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
187047,2008,2008/07/22,permesso di costruire,Rilasciata,2009/03/05,37550.000000000000000,17.000000000000000,"2",VIA GIOV.BATTISTA MELLONI N.  17 / 2,per ampliamento di due unità immobiliari ad uso abitativo usufruendo dell'ampliamento una-tantum in edificio non classificato - rif. n° 219185/07 (diniegata),VIA GIOVANNI BATTISTA MELLONI N.  17,2008.000000000000000,PDC marzo 2009.xls,"Via Giovanni Battista Melloni 17, Bologna",44.491527300000001,11.319625900000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
187634,2008,2008/07/22,permesso di costruire,Rilasciata,2008/12/04,20500.000000000000000,198.000000000000000,,VIA S.DONATO N.  198,Richiesta di Permesso di Costruire per opere di adeguamento estese all'intero edificio classificato 1B.,VIA S.DONATO N.  198,2008.000000000000000,PDC dicembre 2008.xls,"Via S.Donato 198, Bologna",44.522374999999997,11.404113100000000,1,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL,"1021",EDI_C_T,Edifici d'interesse - Edifici d'interesse culturale e testimoniale,,,,,,,,,,,,,,TSA_UTM-ETRS89 — VIN_TSA_EDI_PL,C:\Users\Carlotta\Downloads\TSA_UTM-ETRS89|layername=VIN_TSA_EDI_PL
