ID_RICHIES,RICHIESTA,RICHIEST_1,PROCEDIMEN,ESITO PRAT,CHIUSURA P,CODICE VIA,CIVICO,ESPONENTE,LOCALIZZAZ,DESCRIZION,LOCALIZZ_1,ANNO,NOMI_FILE,indirizzo_,lat,lon,fid,COD_RNS,DESCRIZ,ID_STR,layer,path,COD_RNS_2,DESCRIZ_2,ID_STR_2,layer_2,path_2
221178,2008,2008/09/16,permesso di costruire,Rilasciata con prescrizioni,2012/11/28,28350.000000000000000,,,VIA DEL GOMITO  ( Civico da definire ),Permesso di costruire per la nuova realizzazione di un impianto di distribuzione carburanti con annessi autolavaggi,VIA DEL GOMITO  ( Civico da definire ),2008.000000000000000,PDC novembre 2012.xls,"Via Del Gomito ( ), Bologna",44.534204099999997,11.368242700000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
230740,2008,2008/09/26,permesso di costruire,Rilasciata con prescrizioni,2009/02/20,38650.000000000000000,,,VIA DEL MILLIARIO  ( Civico da definire ),Nuova costruzione di edificio ad uso residenziale (n. 7 u.i.),VIA DEL MILLIARIO  ( Civico da definire ),2008.000000000000000,PDC febbraio 2009.xls,"Via Del Milliario ( ), Bologna",44.510651199999998,11.296396500000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
293486,2011,2011/12/21,permesso di costruire,Rilasciata,2012/10/29,17200.000000000000000,59.000000000000000,,VIA DEI COLLI N.  59,permesso di costruire per la realizzazione di autorimesse non completamente interrate fuori dall'area di sedime dell'edificio residenziale e per la realizzazione di un disimpegno di collegamento con il piano interrato dell'edificio oltre alla demolizione,VIA DEI COLLI N.  59,2011.000000000000000,PDC ottobre 2012.xls,"Via Dei Colli 59, Bologna",44.449617600000003,11.307223300000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
138598,2013,2013/06/06,permesso di costruire,Rilasciata,2013/09/10,4750.000000000000000,11.000000000000000,,VIA DI BARBIANO N.  11,"variante in corso d'opera alle DIA PG 249611/2008 307459/2010 per nuova costruzione di Sa interrata, recupero di Sa in Su, realizzazione di piscina e modifiche alle bucature su entrambe gli edifici",VIA DI BARBIANO N.  11,2013.000000000000000,PDC settembre 2013.xls,"Via Di Barbiano 11, Bologna",44.461120299999997,11.341864800000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
13807,2014,2014/01/17,permesso di costruire,Rilasciata,2014/01/28,58300.000000000000000,4.000000000000000,,VIA DELLA TORRE N.  4,"realizzazione dI un piano interrato fuori dall'area di sedime dell'edificio bifamiliare per realizzazione di autorimessa e pertinenze, modifica della sistemazione esterna dell'area cortiliva con posa di pavimentazioni, abbattimenti e rimpianti di alberat",VIA DELLA TORRE N.  4,2014.000000000000000,PDC gennaio 2014.xls,"Via Della Torre 4, Bologna",44.444325499999998,11.330494099999999,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
82800,2014,2014/03/19,permesso di costruire,Rilasciata,2014/07/24,13900.000000000000000,53.000000000000000,"3",VIA DI CASAGLIA N.  53 / 3,Demolizione e ricostruzione di fabbricato ad uso abitativo e di tre accessori con realizzazione di superficie accessoria interrata,VIA DI CASAGLIA N.  53 / 3,2014.000000000000000,PDC luglio 2014.xls,"Via Di Casaglia 53 / 3, Bologna",44.470258100000002,11.303576800000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
89227,2014,2014/03/26,permesso di costruire,Rilasciata,2014/10/30,54650.000000000000000,77.000000000000000,"2",VIA SIEPELUNGA N.  77 / 2,Realizzazione di garages interrati in variante in corso d'opera alla SCIA PG 83984/2014,VIA SIEPELUNGA N.  77 / 2,2014.000000000000000,PDC ottobre 2014.xls,"Via Siepelunga 77 / 2, Bologna",44.465242600000003,11.359712699999999,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
402266,2020,2020/10/08,permesso di costruire a sanatoria con lavori LR 15/2013,Efficace,2021/07/16,15550.000000000000000,18.000000000000000,"8",VIA DELLA CAVRIOLA N.  18 / 8 INTERNO 0,"PERMESSO DI COSTRUIRE IN SANATORIA CON LAVORI per opere da realizzare di  manutenzione straordinaria consistenti in rampe di accesso, muri di  contenimento del terreno scavato e sistemazioni esterne, ed opere da sanare di  nuova costruzione  consistenti",VIA DELLA CAVRIOLA N.  18 / 8 INTERNO 0,2020.000000000000000,PDC apr-set 2021.xls,"Via Della Cavriola 18 / 8, Bologna",44.459930499999999,11.303321300000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
312679,2019,2019/07/05,permesso di costruire a sanatoria con lavori LR 15/2013,Rilasciata con prescrizioni,2020/10/27,4600.000000000000000,15.000000000000000,,VIA S. BARBARA N.  15 INTERNO 0,PERMESSO DI COSTRUIRE SANATORIA CON LAVORI per opere da realizzare di  ristrutturazione edilizia consistenti modifica delle fotometrie esterne  a  seguito della diversa distribuzione interna in due edifici esistenti allo stato  grezzo e mai completati e,VIA S. BARBARA N.  15 INTERNO 0,2019.000000000000000,PDC ago - dic 2020.xls,"Via S. Barbara 15, Bologna",44.473953199999997,11.357080000000000,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
75250,2020,2020/02/18,permesso di costruire a sanatoria LR 15/2013,Rilasciata,2020/12/10,31900.000000000000000,6.000000000000000,,VIA S. LIBERATA N.  6 INTERNO 0,"PERMESSO DI COSTRUIRE A  SANATORIA, con accertamento di compatibilità paesaggistica per intervento a sanatoria per lieve ampliamento del piano interrato fuori area di sedime dell'edificio residenziale, oltre a modifiche interne ed esterne, e opere di ri",VIA S. LIBERATA N.  6 INTERNO 0,2020.000000000000000,PDC ago - dic 2020.xls,"Via S. Liberata 6, Bologna",44.458983600000003,11.347690699999999,1,PS_FRA_1,Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)",IDR_GEO,Vincolo idrogeologico,"1021",Aree a rischi geologici vari,"C:\Users\Carlotta\Downloads\SDV_UTM-ETRS89|layername=VIN_SDV_RNS_PL|subset=""DESCRIZ"" IN (
  'Aree a rischio di frana interessate da provvedimenti specifici - Area di influenza sull''evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree da sottoporre a verifica',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile evoluzione del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree di possibile influenza del dissesto',
  'Aree a rischio di frana interessate da provvedimenti specifici - Aree in dissesto',
  'Vincolo idrogeologico'
)"
